Date,Sales
2023-01-01,214
2023-01-02,198
2023-01-03,224
2023-01-04,253
2023-01-05,203
2023-01-06,205
2023-01-07,262
2023-01-08,241
2023-01-09,206
2023-01-10,239
2023-01-11,211
2023-01-12,214
2023-01-13,237
2023-01-14,175
2023-01-15,183
2023-01-16,221
2023-01-17,209
2023-01-18,252
2023-01-19,217
2023-01-20,204
2023-01-21,293
2023-01-22,244
2023-01-23,255
2023-01-24,213
2023-01-25,241
2023-01-26,263
2023-01-27,227
2023-01-28,275
2023-01-29,248
2023-01-30,259
2023-01-31,252
2023-02-01,327
2023-02-02,273
2023-02-03,243
2023-02-04,301
2023-02-05,242
2023-02-06,286
2023-02-07,223
2023-02-08,243
2023-02-09,290
2023-02-10,308
2023-02-11,292
2023-02-12,285
2023-02-13,280
2023-02-14,246
2023-02-15,270
2023-02-16,279
2023-02-17,325
2023-02-18,304
2023-02-19,242
2023-02-20,305
2023-02-21,285
2023-02-22,277
2023-02-23,316
2023-02-24,329
2023-02-25,326
2023-02-26,274
2023-02-27,290
2023-02-28,309
2023-03-01,329
2023-03-02,285
2023-03-03,294
2023-03-04,266
2023-03-05,263
2023-03-06,324
2023-03-07,340
2023-03-08,296
2023-03-09,328
2023-03-10,309
2023-03-11,278
2023-03-12,307
2023-03-13,342
2023-03-14,294
2023-03-15,341
2023-03-16,215
2023-03-17,317
2023-03-18,294
2023-03-19,282
2023-03-20,292
2023-03-21,229
2023-03-22,281
2023-03-23,297
2023-03-24,329
2023-03-25,268
2023-03-26,258
2023-03-27,265
2023-03-28,306
2023-03-29,287
2023-03-30,260
2023-03-31,289
2023-04-01,275
2023-04-02,299
2023-04-03,247
2023-04-04,257
2023-04-05,253
2023-04-06,219
2023-04-07,269
2023-04-08,266
2023-04-09,256
2023-04-10,247
2023-04-11,210
2023-04-12,237
2023-04-13,237
2023-04-14,221
2023-04-15,238
2023-04-16,253
2023-04-17,295
2023-04-18,241
2023-04-19,241
2023-04-20,229
2023-04-21,171
2023-04-22,225
2023-04-23,225
2023-04-24,295
2023-04-25,213
2023-04-26,225
2023-04-27,212
2023-04-28,176
2023-04-29,242
2023-04-30,228
2023-05-01,227
2023-05-02,173
2023-05-03,240
2023-05-04,153
2023-05-05,210
2023-05-06,256
2023-05-07,158
2023-05-08,168
2023-05-09,185
2023-05-10,165
2023-05-11,131
2023-05-12,177
2023-05-13,140
2023-05-14,184
2023-05-15,140
2023-05-16,211
2023-05-17,139
2023-05-18,150
2023-05-19,182
2023-05-20,118
2023-05-21,160
2023-05-22,190
2023-05-23,100
2023-05-24,152
2023-05-25,152
2023-05-26,165
2023-05-27,103
2023-05-28,98
2023-05-29,151
2023-05-30,143
2023-05-31,139
2023-06-01,140
2023-06-02,108
2023-06-03,133
2023-06-04,133
2023-06-05,102
2023-06-06,177
2023-06-07,134
2023-06-08,82
2023-06-09,136
2023-06-10,86
2023-06-11,138
2023-06-12,147
2023-06-13,87
2023-06-14,139
2023-06-15,121
2023-06-16,133
2023-06-17,164
2023-06-18,99
2023-06-19,82
2023-06-20,78
2023-06-21,79
2023-06-22,101
2023-06-23,112
2023-06-24,110
2023-06-25,126
2023-06-26,101
2023-06-27,144
2023-06-28,92
2023-06-29,181
2023-06-30,118
2023-07-01,74
2023-07-02,67
2023-07-03,114
2023-07-04,93
2023-07-05,121
2023-07-06,114
2023-07-07,98
2023-07-08,75
2023-07-09,56
2023-07-10,88
2023-07-11,128
2023-07-12,109
2023-07-13,66
2023-07-14,109
2023-07-15,117
2023-07-16,79
2023-07-17,112
2023-07-18,110
2023-07-19,75
2023-07-20,121
2023-07-21,128
2023-07-22,145
2023-07-23,146
2023-07-24,74
2023-07-25,89
